,above-canon,above-far1
ground_lightsource,,
ground_container,,
support,0.4823890507900807,0.8507205507137557
ground_verticality,,
size_ratio,,
shortest_distance,-0.36400693667981104,-0.23145168944276356
contact_proportion,0.4089962673914678,0.6304031691410655
above_proportion,0.5806312771562846,1.0625865609965301
below_proportion,-0.7439491394171324,-0.6768593380832889
bbox_overlap_proportion,0.4446283510706199,-0.13981327613499014
horizontal_distance,-0.17084644890631162,0.008627811057600068
f_covers_g,0.41458875407725226,-0.5589923166615155
g_covers_f,0.1736467318440205,1.0134564431067967
figure_lightsource,,
figure_container,,
location_control,0.3545888299688744,0.6309853233475483
