,against-canon,against-far1
ground_lightsource,,
ground_container,,
support,0.3264494172062651,-0.6282480394372745
ground_verticality,,
size_ratio,,
shortest_distance,-0.5169467511291806,0.07737313881746366
contact_proportion,0.8102802159105587,-0.388470144392693
above_proportion,-0.6018463008298062,-0.015234541555986914
below_proportion,-0.6529826710536825,0.06147547567007197
bbox_overlap_proportion,1.3095280939492444,-0.2152842466755467
horizontal_distance,-0.15961067093295872,0.5916412307936763
f_covers_g,-0.5252513457289766,-0.4627593145040269
g_covers_f,0.17763060276568535,-0.7343213526903549
figure_lightsource,,
figure_container,,
location_control,0.9013984730246004,-0.5355890084116892
