,in-canon,in-far1
ground_lightsource,,
ground_container,,
support,1.159481841635886,1.6837178985981087
ground_verticality,,
size_ratio,,
shortest_distance,-0.5812810626181274,-0.602573893987224
contact_proportion,1.7382001411373684,2.092075168772348
above_proportion,0.02836752873462802,-0.9059561524155018
below_proportion,-0.7430465462765707,-0.7484621051199398
bbox_overlap_proportion,2.0515784130442856,3.938588212351634
horizontal_distance,-0.8258112895293357,-0.3893656586160203
f_covers_g,0.135316230541423,-0.5404594230137074
g_covers_f,0.941683790909626,1.2298727322621572
figure_lightsource,,
figure_container,,
location_control,1.3458396348996702,1.117380118411612
