,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,,,,
ground_container,,,,
support,1.2604980475227245,0.5195524197325223,1.2378298512357733,-0.6282480394372745
ground_verticality,,,,
size_ratio,,,,
shortest_distance,-0.4937172761518525,0.1803662325906937,-0.5335561795935294,0.3953079263158786
contact_proportion,1.0479498839576449,-0.43512646784522374,0.7991475713370938,-0.44950312033121614
above_proportion,0.9104021470417738,1.252512522069934,0.26181715511493897,1.0572043939237896
below_proportion,-0.7484300743910192,-0.7484621051199397,-0.7249946810824943,-0.7484621051199398
bbox_overlap_proportion,0.16049438672219524,-0.34401736524762555,0.8799856425010572,-0.2638050553828103
horizontal_distance,-0.09831687729454192,-0.40906910526598916,-0.6959352503026354,-0.1408698026572559
f_covers_g,-0.655837103796376,0.3455587467963748,0.2614580480855733,1.0239503013803792
g_covers_f,1.1147011664966064,-0.13930334141252795,0.5348406522588685,-0.15403596805012962
figure_lightsource,,,,
figure_container,,,,
location_control,0.9553893887183574,0.1737771930013615,1.2193700911900658,-0.47309269047593344
