,over-canon,over-far1
ground_lightsource,,
ground_container,,
support,0.36153763974858705,0.358290384504362
ground_verticality,,
size_ratio,,
shortest_distance,-0.35361275773100903,-0.032768993669025394
contact_proportion,0.6122558782176376,0.3775855541616646
above_proportion,0.48531665380278366,0.8238831918938776
below_proportion,-0.7186765279071404,-0.42999995582227707
bbox_overlap_proportion,0.5980317414357149,-0.056631693960358526
horizontal_distance,-0.37359903240459497,0.04086128838163029
f_covers_g,0.4699773656567579,-0.3095740738925903
g_covers_f,0.21326314400050037,0.7496041923035555
figure_lightsource,,
figure_container,,
location_control,0.45632559452188826,0.21146224099745126
