,under-canon,under-near1,under-near2,under-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.014059949850335247,0.05185674547657634,0.003553439485621107,0.07997791385479872
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.06387372202779522,0.11073830775495837,0.00845946368449331,0.06812366006379036
contact_proportion,0.05250101424657135,0.10553728753134368,0.0037201937746745377,0.00020660694268441037
above_proportion,0.0019576709743613103,0.045922492615146,0.0008076256278813231,0.12122239534432275
below_proportion,0.004208519381166307,0.17448815595321573,0.0004980783649619536,0.1215446888225079
bbox_overlap_proportion,0.08870109370323627,0.12136417229695058,0.017119649505606554,0.033263996361991385
horizontal_distance,0.052743202252206606,0.06562283262085697,0.006292991660932508,0.026447611153304757
f_covers_g,0.0033142361655461184,0.004802063056254537,0.000967249377629337,0.1716816362692799
g_covers_f,0.06446123735261593,0.14078276388867775,0.008952038905108463,0.16342036204757715
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.06256623811911391,0.020377090089288973,0.009474285931651259,0.014132219606312132
