,inside-canon,inside-far1
ground_lightsource,-0.2815538553150814,-0.2815538553150814
ground_container,1.958414819836715,1.958414819836715
support,1.524121388961674,1.524121388961674
ground_verticality,-0.6701200735614958,-0.6701200735614958
size_ratio,-0.2160064756850451,-0.2160064756850451
shortest_distance,-0.7808768190511203,-0.7808768190511203
contact_proportion,2.64418720738062,2.64418720738062
above_proportion,-0.00209291244147361,-0.00209291244147361
below_proportion,-0.9113205029162644,-0.9113205029162644
bbox_overlap_proportion,3.2117731726750667,3.2117731726750667
horizontal_distance,-1.0495582018192007,-1.0495582018192007
f_covers_g,0.3193852695305897,0.3193852695305897
g_covers_f,1.40299893876662,1.40299893876662
figure_lightsource,-0.1216673673887032,-0.1216673673887032
figure_container,-0.4613530223223445,-0.4613530223223445
location_control,1.8999091747833394,1.8999091747833394
