,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,-0.12166736738870343,-0.1704690456676629,-0.12166736738870304,-0.1365481572847506,-0.1903441186010792,-0.14260577040166408,7.0968952801999015,2.2575827163491717
ground_container,-0.5968659206925574,-0.20591529071525533,-0.5968659206925573,-0.43565543574293486,0.582024851802771,1.786829345751859,0.1074094405546872,1.038001127463511
support,1.6834647383278947,1.9970595628090217,0.7522668191743811,1.7508153209249846,1.3823687759565528,1.8235021407283414,0.5859671907974668,1.0534049132329624
ground_verticality,-0.38324244711595,-0.03337821823851511,-0.38324244711594985,1.314431144061557,-0.5311110278971082,-0.4283251262277793,2.0678381000772523,0.9424191497051113
size_ratio,-0.21331348727768243,-0.2141251799650566,-0.21341742385960802,-0.2140399658547031,-0.21630962268500264,-0.21417439569288158,-0.21668855286742633,-0.22345813364373454
shortest_distance,-0.6025731726099384,-0.6627356833817615,-0.6025738939872245,-0.6377788317964979,-0.4863861822478151,-0.617142583561989,-0.786328112615607,-0.9947007424034157
contact_proportion,2.2572864228997624,0.36147123707457285,2.3665980408169207,4.8585951842335735,-0.4285524503940189,0.1985629440337044,3.35732127307319,0.341182648392208
above_proportion,1.2589934434798171,1.5063499020869842,1.2449763593543008,-0.6214175744737327,1.396601170621556,0.34991749959232193,-0.8074822651329316,-1.2301818788562686
below_proportion,-0.7484621051199398,-0.8504587293364081,-0.7484621051199396,-0.779563296484617,-0.8919980865215602,-0.7922238465010086,-0.9107386541019882,-1.046039246808351
bbox_overlap_proportion,-0.17217473260454774,-0.4520999324093341,-0.3377840517623517,3.1520220826770737,-0.40155616616119605,0.34226267260528265,3.4899753752263902,2.453351085554393
horizontal_distance,-0.1258623299459315,-0.2987969456419553,-0.2429605322667412,-0.7746583025169008,-0.11445722167864764,-0.7993038864264784,-1.061460105311118,-1.3940482402493122
f_covers_g,-0.6503267058879313,-0.2566511859933751,-0.6866309817591216,-0.7588995862227674,0.3965949451331584,0.44825053178458035,-0.2922509194022134,-0.4966089326501242
g_covers_f,1.3800770407444205,1.1167017153880847,1.524017777494514,1.3094509251833577,0.9387862012970223,0.2495107504963222,1.0940651009554807,0.2611822908702539
figure_lightsource,-0.12166736738870317,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318
figure_container,-0.5968659206925581,-0.2541011514057695,-0.5968659206925576,-0.207640046827465,-0.8214718180245886,-0.6653445355717418,-0.8507971617942189,-0.8632013579663624
location_control,0.9829263931682554,1.2917955710162035,0.9897861572229472,1.494307637946223,1.1022113450202748,1.8087464372787263,1.21193552060756,0.8121910943369132
